status,title,price,is_likely_dealer,contact_url,run_date,first_seen_date,last_seen_date,id,custom_title,description,listing_price,location,location_text,primaryImage,images,categoryId,creation_time,share_uri,commerce_badges_info,vehicle_exterior_color,vehicle_fuel_type,vehicle_transmission_type,vehicle_make_display_name,vehicle_model_display_name,vehicle_odometer_data,vehicle_seller_type,vehicle_title_status,attribute_data,_fetchedAt,_imageSource,__isMarketplaceListingWithComparablePrice,comparable_price,comparable_price_type
live,2017 Nissan Maxima · SE Sedan 4D,1800.00,False,https://www.facebook.com/marketplace/item/1252545740193107/,2026-03-23,2026-03-23 04:29:44,2026-03-23 04:29:44,1252545740193107,2017 Nissan maxima SE Sedan 4D,Para partes ,"{'amount_with_offset': '180000', 'currency': 'USD', 'amount': '1800.00'}","{'city': 'North Plainfield', 'state': 'NJ', 'latitude': 40.619201660156, 'longitude': -74.426879882812, 'postal_code': '07060-4783', 'country_code': 'US'}","North Plainfield, NJ",https://scontent-sea5-1.xx.fbcdn.net/v/t39.30808-6/656020510_1459354989157737_3652152279676028227_n.jpg?stp=c0.169.1536.1536a_cp6_dst-jpegr_s261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=db9c8c&_nc_ohc=tPQJHT7egpAQ7kNvwH5sirg&_nc_oc=AdqQV0X8yhud0KkwixGU8lADoUUZcI84x6Ou2ad4BgcDFyCZr_JZaw4aohKqHESZTmI&_nc_zt=23&se=-1&_nc_ht=scontent-sea5-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_Afx-gHzm85_soEKAv8L6XTrvWFHcXSU3CMd5Ij3SMepI9A&oe=69C6819D,['https://scontent-sea5-1.xx.fbcdn.net/v/t39.30808-6/656020510_1459354989157737_3652152279676028227_n.jpg?stp=c0.169.1536.1536a_cp6_dst-jpegr_s261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=db9c8c&_nc_ohc=tPQJHT7egpAQ7kNvwH5sirg&_nc_oc=AdqQV0X8yhud0KkwixGU8lADoUUZcI84x6Ou2ad4BgcDFyCZr_JZaw4aohKqHESZTmI&_nc_zt=23&se=-1&_nc_ht=scontent-sea5-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_Afx-gHzm85_soEKAv8L6XTrvWFHcXSU3CMd5Ij3SMepI9A&oe=69C6819D'],807311116002614,1774235874,https://www.facebook.com/marketplace/item/1252545740193107/,"{'source_summary': None, 'badges': []}",grey,,AUTOMATIC,Nissan,Maxima,"{'unit': 'MILES', 'value': 70000}",PRIVATE_SELLER,,[],2026-03-23T04:31:23.448Z,search_results_fallback,,,
live,2009 Subaru Legacy · 2.5 GT Limited Sedan 4D,1200.00,False,https://www.facebook.com/marketplace/item/3939528473014758/,2026-03-23,2026-03-23 04:29:44,2026-03-23 04:29:44,3939528473014758,2009 Subaru legacy 2.5 GT Limited Sedan 4D,"2009 Subaru Legacy – AS IS
Engine blown, car does not run. Good for parts or someone who wants to swap the engine. Clean interior and body in decent condition. AWD. Selling as is. ","{'amount_with_offset': '120000', 'currency': 'USD', 'amount': '1200.00'}","{'city': 'Irvington', 'state': 'NJ', 'latitude': 40.723571777344, 'longitude': -74.229125976562, 'postal_code': '07111-3413', 'country_code': 'US'}","Irvington, NJ",https://scontent-sea5-1.xx.fbcdn.net/v/t39.30808-6/656508040_832780496498562_7387537226109620411_n.jpg?stp=c256.0.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=Fr7NA1i6Db8Q7kNvwEIew1T&_nc_oc=AdqJi5H-MnHPx8XCMIr57mDg2HUM9K3hQBDxJnX9yS37OEF3xuHHodkKhZ-WMO7XEMo&_nc_zt=23&_nc_ht=scontent-sea5-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_Afw5YgKTmoWZeUdzGbaUb-WAH9u1_38F94Ee57MRQuU1mQ&oe=69C68F25,['https://scontent-sea5-1.xx.fbcdn.net/v/t39.30808-6/656508040_832780496498562_7387537226109620411_n.jpg?stp=c256.0.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=Fr7NA1i6Db8Q7kNvwEIew1T&_nc_oc=AdqJi5H-MnHPx8XCMIr57mDg2HUM9K3hQBDxJnX9yS37OEF3xuHHodkKhZ-WMO7XEMo&_nc_zt=23&_nc_ht=scontent-sea5-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_Afw5YgKTmoWZeUdzGbaUb-WAH9u1_38F94Ee57MRQuU1mQ&oe=69C68F25'],807311116002614,1774235392,https://www.facebook.com/marketplace/item/3939528473014758/,"{'source_summary': None, 'badges': []}",white,GASOLINE,AUTOMATIC,Subaru,Legacy,"{'unit': 'MILES', 'value': 120000}",PRIVATE_SELLER,,[],2026-03-23T04:31:22.467Z,search_results_fallback,,,
live,1999 Mercedes-Benz 300 E · 3.0 Sedan 4D,1500.00,False,https://www.facebook.com/marketplace/item/991467559871933/,2026-03-23,2026-03-23 04:29:44,2026-03-23 04:29:44,991467559871933,1999 Mercedes-Benz 300 e 3.0 Sedan 4D,"Mercedes E320
Titulo limpio 
El carro enciende y se conduce
Tienes detalles de uso normal

Vendo o cambio, que ofrcen?","{'amount_with_offset': '150000', 'currency': 'USD', 'amount': '1500.00'}","{'city': 'Madison', 'state': 'NJ', 'latitude': 40.767517089844, 'longitude': -74.415893554688, 'postal_code': '07940-1210', 'country_code': 'US'}","Madison, NJ",https://scontent-sea5-1.xx.fbcdn.net/v/t39.30808-6/655830963_1679489303210533_2532209731334230366_n.jpg?stp=c256.0.1536.1536a_dst-jpg_s261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=ncBeXu9-iOsQ7kNvwGKcl7G&_nc_oc=AdqHtl9CEv1zplTHzLhSeodc0xq5rvWjiTkXfSliMhvqU8rtiK55mwqN8VRa3BWKZW0&_nc_zt=23&_nc_ht=scontent-sea5-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_AfzmjiALUOFz6EcwG_igu__j3iMvuQeyeaUkGlpetjWbAw&oe=69C67E8C,['https://scontent-sea5-1.xx.fbcdn.net/v/t39.30808-6/655830963_1679489303210533_2532209731334230366_n.jpg?stp=c256.0.1536.1536a_dst-jpg_s261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=ncBeXu9-iOsQ7kNvwGKcl7G&_nc_oc=AdqHtl9CEv1zplTHzLhSeodc0xq5rvWjiTkXfSliMhvqU8rtiK55mwqN8VRa3BWKZW0&_nc_zt=23&_nc_ht=scontent-sea5-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_AfzmjiALUOFz6EcwG_igu__j3iMvuQeyeaUkGlpetjWbAw&oe=69C67E8C'],807311116002614,1774230442,https://www.facebook.com/marketplace/item/991467559871933/,"{'source_summary': None, 'badges': []}",grey,GASOLINE,AUTOMATIC,Mercedes-Benz,300 E,"{'unit': 'MILES', 'value': 166000}",PRIVATE_SELLER,CLEAN,[],2026-03-23T04:31:22.255Z,search_results_fallback,,,
live,Compra de todo tipo de carros buenos precios,123.00,True,https://www.facebook.com/marketplace/item/1645702419917892/,2026-03-23,2026-03-23 04:29:44,2026-03-23 04:29:44,1645702419917892,,Más información escríbeme al directo si estás interesado en hacer parte del dealer ,"{'formatted_amount_zeros_stripped': '$123', 'amount_with_offset_in_currency': '12300', 'amount': '123.00', 'currency': 'USD'}","{'city': 'Bound Brook', 'state': 'NJ', 'latitude': 40.564270019531, 'longitude': -74.547729492188}","Bound Brook, NJ",https://scontent-sea5-1.xx.fbcdn.net/v/t39.84726-6/657687006_942938661554609_7582237919678200574_n.jpg?stp=c0.65.261.261a_dst-jpg_p261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=92e707&_nc_ohc=R5RmIql_s-0Q7kNvwGqbdva&_nc_oc=AdrP2hZi3YHOgmmRV1Yc5lrbFsf3rbMFHGeAS8hgkan02l2QRuaLl82qV2Zx-qQw6lo&_nc_zt=14&_nc_ht=scontent-sea5-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_Afw-hjwYKscPKXS7fLEIFEwpwwbpH3uaY_IM4O2JRJ5blQ&oe=69C6ADDD,['https://scontent-sea5-1.xx.fbcdn.net/v/t39.84726-6/657687006_942938661554609_7582237919678200574_n.jpg?stp=c0.65.261.261a_dst-jpg_p261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=92e707&_nc_ohc=R5RmIql_s-0Q7kNvwGqbdva&_nc_oc=AdrP2hZi3YHOgmmRV1Yc5lrbFsf3rbMFHGeAS8hgkan02l2QRuaLl82qV2Zx-qQw6lo&_nc_zt=14&_nc_ht=scontent-sea5-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_Afw-hjwYKscPKXS7fLEIFEwpwwbpH3uaY_IM4O2JRJ5blQ&oe=69C6ADDD'],1792291877663080,1774228192,https://www.facebook.com/marketplace/item/1645702419917892/,"{'source_summary': 'Highly rated on Marketplace', 'badges': [{'__typename': 'CommerceBadgeImpl', 'image_grayscale_uri': 'https://static.xx.fbcdn.net/rsrc.php/yy/r/brSpuhF6qCR.webp'}]}",,,,,,,,,"[{'attribute_name': 'Condition', 'value': 'used_like_new', 'label': 'Used - like new'}]",2026-03-23T04:31:22.977Z,search_results_fallback,,,
live,2011 Buick Enclave · CXL Sport Utility 4D,2000.00,False,https://www.facebook.com/marketplace/item/2440729996442315/,2026-03-23,2026-03-23 04:29:44,2026-03-23 04:29:44,2440729996442315,2011 Buick enclave CXL Sport Utility 4D,,"{'amount_with_offset': '200000', 'currency': 'USD', 'amount': '2000.00'}","{'city': 'Edison', 'state': 'NJ', 'latitude': 40.580749511719, 'longitude': -74.360961914062, 'postal_code': '08820', 'country_code': 'US'}","Edison, NJ",https://scontent-sea5-1.xx.fbcdn.net/v/t39.30808-6/656192442_1236567658606621_548451147072654811_n.jpg?stp=c0.363.947.947a_dst-jpg_s261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=Tbms4fv8tQ4Q7kNvwGErB0w&_nc_oc=Ado7Jh2lanzQT-g3Irx385QfCw_bj1RYc0Y_4mV2-d9-exXP0a1n2N2WLcFjiedQuOk&_nc_zt=23&_nc_ht=scontent-sea5-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_AfxM49_x9zYYBvemZVfd5AJX4Qvs9FhsIRg-m9bavzlVCg&oe=69C683E0,['https://scontent-sea5-1.xx.fbcdn.net/v/t39.30808-6/656192442_1236567658606621_548451147072654811_n.jpg?stp=c0.363.947.947a_dst-jpg_s261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=Tbms4fv8tQ4Q7kNvwGErB0w&_nc_oc=Ado7Jh2lanzQT-g3Irx385QfCw_bj1RYc0Y_4mV2-d9-exXP0a1n2N2WLcFjiedQuOk&_nc_zt=23&_nc_ht=scontent-sea5-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_AfxM49_x9zYYBvemZVfd5AJX4Qvs9FhsIRg-m9bavzlVCg&oe=69C683E0'],807311116002614,1774227588,https://www.facebook.com/marketplace/item/2440729996442315/,"{'source_summary': None, 'badges': []}",silver,GASOLINE,AUTOMATIC,Buick,Enclave,"{'unit': 'MILES', 'value': 160000}",PRIVATE_SELLER,,[],2026-03-23T04:31:22.421Z,search_results_fallback,,,
live,Moped,1400.00,False,https://www.facebook.com/marketplace/item/881291611608370/,2026-03-23,2026-03-23 04:29:44,2026-03-23 04:29:44,881291611608370,,Razor230p TITLE AND KEYS Has alot of modifications goes 75mph its very light weight 800 miles on it,"{'formatted_amount_zeros_stripped': '$1,400', 'amount_with_offset_in_currency': '140000', 'amount': '1400.00', 'currency': 'USD'}","{'city': 'Brooklyn', 'state': 'NY', 'latitude': 40.608215332031, 'longitude': -73.954467773438}","Brooklyn, NY",https://scontent-sea5-1.xx.fbcdn.net/v/t39.84726-6/658142505_876931028709098_3443281598093250793_n.jpg?stp=c0.101.261.261a_dst-jpg_p261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=92e707&_nc_ohc=4PkjLRNCJIwQ7kNvwEi0XOe&_nc_oc=AdrcAmjPLBeqej-4LSX5vkIAFf4Vo8SLtXuZdT3dA564EwwT_BUxyAlNFM-WaRiGZfQ&_nc_zt=14&_nc_ht=scontent-sea5-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_AfzkKkSUd8y55rGt3qSjXOwsKGQ8Vlx1h3S4CiLfahlvwA&oe=69C68E63,['https://scontent-sea5-1.xx.fbcdn.net/v/t39.84726-6/658142505_876931028709098_3443281598093250793_n.jpg?stp=c0.101.261.261a_dst-jpg_p261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=92e707&_nc_ohc=4PkjLRNCJIwQ7kNvwEi0XOe&_nc_oc=AdrcAmjPLBeqej-4LSX5vkIAFf4Vo8SLtXuZdT3dA564EwwT_BUxyAlNFM-WaRiGZfQ&_nc_zt=14&_nc_ht=scontent-sea5-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_AfzkKkSUd8y55rGt3qSjXOwsKGQ8Vlx1h3S4CiLfahlvwA&oe=69C68E63'],895487550471874,1774225809,https://www.facebook.com/marketplace/item/881291611608370/,"{'source_summary': None, 'badges': []}",,,,,,,,,"[{'attribute_name': 'Condition', 'value': 'used_like_new', 'label': 'Used - like new'}]",2026-03-23T04:31:22.973Z,search_results_fallback,,,
live,2012 Chevrolet Traverse · LS Sport Utility 4D,2000.00,False,https://www.facebook.com/marketplace/item/1310392780911248/,2026-03-23,2026-03-23 04:29:44,2026-03-23 04:29:44,1310392780911248,2012 Chevrolet traverse LS Sport Utility 4D,This car engine and transmission working has the check light ,"{'amount_with_offset': '200000', 'currency': 'USD', 'amount': '2000.00'}","{'city': 'Kearny', 'state': 'NJ', 'latitude': 40.762023925781, 'longitude': -74.141235351562, 'postal_code': '07032-4022', 'country_code': 'US'}","Kearny, NJ",https://scontent-sea5-1.xx.fbcdn.net/v/t39.30808-6/655963629_3442994732517358_1271049105399452831_n.jpg?stp=c0.483.1256.1256a_dst-jpg_s261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=dJss1RwUHR8Q7kNvwFJ8jve&_nc_oc=AdokNXJV3Xikz9RoOcfCjK1PWO4csNbYMRqY7YaeQERRaAL6Ne2dhfQXZzaNkdclB5o&_nc_zt=23&_nc_ht=scontent-sea5-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_AfxlOJRbOLm97X6yZed013nCkSxil3E3N6LdC9yTK6VtQQ&oe=69C68695,['https://scontent-sea5-1.xx.fbcdn.net/v/t39.30808-6/655963629_3442994732517358_1271049105399452831_n.jpg?stp=c0.483.1256.1256a_dst-jpg_s261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=dJss1RwUHR8Q7kNvwFJ8jve&_nc_oc=AdokNXJV3Xikz9RoOcfCjK1PWO4csNbYMRqY7YaeQERRaAL6Ne2dhfQXZzaNkdclB5o&_nc_zt=23&_nc_ht=scontent-sea5-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_AfxlOJRbOLm97X6yZed013nCkSxil3E3N6LdC9yTK6VtQQ&oe=69C68695'],807311116002614,1774224451,https://www.facebook.com/marketplace/item/1310392780911248/,"{'source_summary': None, 'badges': []}",green,GASOLINE,AUTOMATIC,Chevrolet,Traverse,"{'unit': 'MILES', 'value': 146000}",PRIVATE_SELLER,CLEAN,[],2026-03-23T04:31:23.521Z,search_results_fallback,,,
live,2006 Honda Odyssey,1500.00,False,https://www.facebook.com/marketplace/item/1251618327179792/,2026-03-23,2026-03-23 04:29:44,2026-03-23 04:29:44,1251618327179792,2006 Honda odyssey,"1500 negociables, 
Debes hacerle trabajo de transmisión, puedes probarla y llevártela te llevará de punto A a punto B 
El interior está muy bien, solo está un poco descuidada ","{'amount_with_offset': '150000', 'currency': 'USD', 'amount': '1500.00'}","{'city': 'Perth Amboy', 'state': 'NJ', 'latitude': 40.520324707031, 'longitude': -74.262084960938, 'postal_code': '08861-5208', 'country_code': 'US'}","Perth Amboy, NJ",https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/656940377_26134337516195255_5469170405380731695_n.jpg?stp=c0.169.1536.1536a_dst-jpg_s261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=ZghWww-jOkkQ7kNvwHSv0qG&_nc_oc=Adq675t2Dx0LqeC4rJ3RWl-dCKZ7FhCzlIBTSksq26Q5vy2hUbaOXEeYLMR_hTQIOtk&_nc_zt=23&_nc_ht=scontent-sea1-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_AfwwGkqlvNJP-EsEEs37URQygeHSMYzg2nVQvzAGsB9kuw&oe=69C68420,['https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/656940377_26134337516195255_5469170405380731695_n.jpg?stp=c0.169.1536.1536a_dst-jpg_s261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=ZghWww-jOkkQ7kNvwHSv0qG&_nc_oc=Adq675t2Dx0LqeC4rJ3RWl-dCKZ7FhCzlIBTSksq26Q5vy2hUbaOXEeYLMR_hTQIOtk&_nc_zt=23&_nc_ht=scontent-sea1-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_AfwwGkqlvNJP-EsEEs37URQygeHSMYzg2nVQvzAGsB9kuw&oe=69C68420'],807311116002614,1774223855,https://www.facebook.com/marketplace/item/1251618327179792/,"{'source_summary': 'Highly rated on Marketplace', 'badges': [{'__typename': 'CommerceBadgeImpl', 'image_grayscale_uri': 'https://static.xx.fbcdn.net/rsrc.php/yy/r/brSpuhF6qCR.webp'}]}",grey,GASOLINE,AUTOMATIC,Honda,Odyssey,"{'unit': 'MILES', 'value': 182000}",PRIVATE_SELLER,CLEAN,[],2026-03-23T04:31:24.849Z,search_results_fallback,,,
live,2002 Chevrolet Suburban 1500 · LS Sport Utility 4D,995.00,False,https://www.facebook.com/marketplace/item/920760437414838/,2026-03-23,2026-03-23 04:29:44,2026-03-23 04:29:44,920760437414838,2002 Chevrolet suburban 1500 LS Sport Utility 4D,"2002. V8. 425,832 miles. Inspection good thru August 2026.  Regular maintenance always done. Engine runs smooth as a kitten.  Oil and filters changed every 3000-4000 miles. Water pump, thermostat, tensioners, belts changed couple years ago. Differential fluids changed last year. Transmission fluid changed last year. Complete oil system professionally flushed and cleaned last year by auto mechanic in Manville. Needs new muffler. Oil pressure runs low. She's old, but she's loyal. Sold As Is.  ","{'amount_with_offset': '99500', 'currency': 'USD', 'amount': '995.00'}","{'city': 'Basking Ridge', 'state': 'NJ', 'latitude': 40.663146972656, 'longitude': -74.547729492188, 'postal_code': '07920-2646', 'country_code': 'US'}","Basking Ridge, NJ",https://scontent-sea5-1.xx.fbcdn.net/v/t39.30808-6/656830378_10237985971405094_7385017025015799688_n.jpg?stp=c448.0.1153.1153a_dst-jpg_s261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=9SGe3WEGACQQ7kNvwFqfbMp&_nc_oc=AdpMCEC3zdjbTQby_Ypmv4DJJr32zIFu89mrZXPJRbZpDAdItk3GG1ndxyk2z1VOCeg&_nc_zt=23&_nc_ht=scontent-sea5-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_AfxCmNin0m0FqKUtxOoQHuL4w4N6ed3PeuWQ8q1TNq4tkg&oe=69C688B6,['https://scontent-sea5-1.xx.fbcdn.net/v/t39.30808-6/656830378_10237985971405094_7385017025015799688_n.jpg?stp=c448.0.1153.1153a_dst-jpg_s261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=9SGe3WEGACQQ7kNvwFqfbMp&_nc_oc=AdpMCEC3zdjbTQby_Ypmv4DJJr32zIFu89mrZXPJRbZpDAdItk3GG1ndxyk2z1VOCeg&_nc_zt=23&_nc_ht=scontent-sea5-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_AfxCmNin0m0FqKUtxOoQHuL4w4N6ed3PeuWQ8q1TNq4tkg&oe=69C688B6'],807311116002614,1774222761,https://www.facebook.com/marketplace/item/920760437414838/,"{'source_summary': None, 'badges': []}",white,GASOLINE,AUTOMATIC,Chevrolet,Suburban 1500,"{'unit': 'MILES', 'value': 425832}",PRIVATE_SELLER,CLEAN,[],2026-03-23T04:31:23.841Z,search_results_fallback,,,
live,2004 Honda CRF 250R Part Out,1.00,False,https://www.facebook.com/marketplace/item/1301154635222048/,2026-03-23,2026-03-23 04:29:44,2026-03-23 04:29:44,1301154635222048,,"Parting out my 2004 CRF250R.
Engine runs but needs a top-end rebuild.

Everything is up for grabs.

Available Parts:
 • Engine (complete – runs, needs top end)
 • Frame
 • Forks + rear shock
 • Wheels / hubs
 • Plastics
 • Subframe
 • Exhaust
 • Carburetor
 • Radiators
 • Controls (bars, levers, etc.)

⚠️ READ BEFORE MESSAGING:
 • Some parts may be missing bolts/hardware
 • What you see is what you get
 • Great for rebuilds, projects, or spare parts
 • Not selling anything as “perfect” — priced accordingly

💰 Message me for pricing + what you need
📍 Located in [Morristown NJ]
📦 Willing to ship smaller parts

First come, first serve.","{'formatted_amount_zeros_stripped': '$1', 'amount_with_offset_in_currency': '100', 'amount': '1.00', 'currency': 'USD'}","{'city': 'Basking Ridge', 'state': 'NJ', 'latitude': 40.696105957031, 'longitude': -74.591674804688}","Basking Ridge, NJ",https://scontent-sea5-1.xx.fbcdn.net/v/t39.84726-6/654427726_1668534641255463_6826985457980143590_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=92e707&_nc_ohc=H9uI0ZtAVwMQ7kNvwHqJ-dG&_nc_oc=AdqxvaEw_Uvss7c9UwL7MNtSaz5lV-JvepBzLpu3jjWCiJuf_XEM9IwUoRIzyPTRE24&_nc_zt=14&_nc_ht=scontent-sea5-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_AfzNEG2CwFDW5fsgEeCLBo5FZgwR1Os4UdY25VDKQ2KwKg&oe=69C67FC2,['https://scontent-sea5-1.xx.fbcdn.net/v/t39.84726-6/654427726_1668534641255463_6826985457980143590_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=92e707&_nc_ohc=H9uI0ZtAVwMQ7kNvwHqJ-dG&_nc_oc=AdqxvaEw_Uvss7c9UwL7MNtSaz5lV-JvepBzLpu3jjWCiJuf_XEM9IwUoRIzyPTRE24&_nc_zt=14&_nc_ht=scontent-sea5-1.xx&_nc_gid=x2YtqSrtD14nBEhAbovcmg&_nc_ss=7a30f&oh=00_AfzNEG2CwFDW5fsgEeCLBo5FZgwR1Os4UdY25VDKQ2KwKg&oe=69C67FC2'],757715671026531,1774221885,https://www.facebook.com/marketplace/item/1301154635222048/,"{'source_summary': None, 'badges': []}",,,,,,,,,"[{'attribute_name': 'Condition', 'value': 'used_good', 'label': 'Used - Good'}]",2026-03-23T04:31:27.608Z,search_results_fallback,,,
